2025-06-11 23:24:16,394 | INFO | MongoCheckpointer | in_memory.py:20 | MongoDB checkpointer initialized successfully.
2025-06-11 23:26:19,583 | INFO | MongoCheckpointer | in_memory.py:20 | MongoDB checkpointer initialized successfully.
2025-06-11 23:26:20,784 | INFO | Workflow | workflow.py:34 | Initializing workflow...
2025-06-11 23:26:20,785 | INFO | Utils | utils.py:18 | Initializing LLM with model: gemini-2.0-flash
2025-06-11 23:26:20,819 | INFO | Utils | utils.py:32 | Initializing image LLM with model: models/gemini-2.0-flash-preview-image-generation
2025-06-11 23:26:20,821 | INFO | Utils | utils.py:18 | Initializing LLM with model: gemini-2.0-flash
2025-06-11 23:26:20,825 | INFO | LLMWithTool | langgraph_utils.py:12 | LLM successfully bound with human_feedback tool.
2025-06-11 23:26:20,831 | INFO | baseagent | llm_search_agent.py:33 | Agent creation successful
2025-06-11 23:26:20,831 | INFO | baseagent | llm_search_agent.py:19 | Initialization done | LLM: model='models/gemini-2.0-flash' google_api_key=SecretStr('**********') client=<google.ai.generativelanguage_v1beta.services.generative_service.client.GenerativeServiceClient object at 0x00000264C0E1C2F0> default_metadata=() model_kwargs={} | Tools: [] | Name: llm_expert
2025-06-11 23:26:20,836 | INFO | baseagent | llm_search_agent.py:33 | Agent creation successful
2025-06-11 23:26:20,836 | INFO | baseagent | llm_search_agent.py:19 | Initialization done | LLM: model='models/gemini-2.0-flash' google_api_key=SecretStr('**********') client=<google.ai.generativelanguage_v1beta.services.generative_service.client.GenerativeServiceClient object at 0x00000264C0E1C2F0> default_metadata=() model_kwargs={} | Tools: [StructuredTool(name='image_gen_func', description='Generate image and return image path (not base64).', args_schema=<class 'langchain_core.utils.pydantic.image_gen_func'>, func=<function image_tool.<locals>.image_gen_func at 0x00000264C0F71BC0>)] | Name: image_expert
2025-06-11 23:26:20,840 | INFO | baseagent | llm_search_agent.py:33 | Agent creation successful
2025-06-11 23:26:20,841 | INFO | baseagent | llm_search_agent.py:19 | Initialization done | LLM: model='models/gemini-2.0-flash' google_api_key=SecretStr('**********') client=<google.ai.generativelanguage_v1beta.services.generative_service.client.GenerativeServiceClient object at 0x00000264C0E1C2F0> default_metadata=() model_kwargs={} | Tools: [StructuredTool(name='tavily_search_tool_func', description='Search the web for up-to-date information using Tavily.', args_schema=<class 'langchain_core.utils.pydantic.tavily_search_tool_func'>, func=<function tavily_search_tool_func at 0x00000264C0C82CA0>)] | Name: web_expert
